"family_id","dataset","context","role","contrast","contrast_type","pathway","set_size","overlap_genes","coverage_fraction","eligible","camera_n_genes","camera_direction","camera_p_value","camera_fdr","score_effect","score_standardized_effect","score_t","score_p_value","score_fdr","score_direction"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","Complement",200,140,0.7,TRUE,140,"DOWN",0.346423486890399,0.524884071046059,-0.00158635623531928,-0.757885620284344,-0.842335558191177,0.413245317419657,0.60685518887273,"DOWN"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","Unfolded Protein Response",113,110,0.973451327433628,TRUE,110,"UP",0.00344152723549076,0.0191195957527265,0.00476008865045363,1.72819647382158,2.26189304249907,0.0395024336825183,0.0987560842062957,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","PI3K/AKT/mTOR  Signaling",105,88,0.838095238095238,TRUE,88,"UP",0.214759229848193,0.408321333805627,0.00093586309901586,2.05609116809816,0.604330878509445,0.55493970312607,0.703811662328531,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","mTORC1 Signaling",200,193,0.965,TRUE,193,"UP",0.00270164274688166,0.0168852671680104,0.00515523210144417,1.6599890565779,2.30660962297544,0.0362642160495718,0.0971665237134209,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","E2F Targets",200,200,1,TRUE,200,"DOWN",3.08428559555375e-06,5.14047599258959e-05,-0.0104442255371047,-4.2253015792018,-5.20750823156357,0.000117555314246486,0.00146944142808108,"DOWN"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","Myc Targets V1",200,199,0.995,TRUE,199,"DOWN",0.34191028267148,0.524884071046059,0.00140504110646811,0.406052258511936,0.59184153165782,0.563049329862825,0.703811662328531,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","Myc Targets V2",58,55,0.948275862068966,TRUE,55,"UP",0.0214251066468618,0.071417022156206,0.00798765674436078,2.42600559971878,3.46170129823953,0.00363165153425744,0.0181582576712872,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","Epithelial Mesenchymal Transition",200,174,0.87,TRUE,174,"UP",0.91868773034049,0.937436459531112,0.00120798101674929,0.707026164284829,0.681224762535522,0.506437755678209,0.666365467997643,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","Inflammatory Response",200,123,0.615,TRUE,123,"DOWN",0.837431262305222,0.937436459531112,-0.0031648276451972,-1.6058394093849,-1.71385693591664,0.107791250923855,0.256645835532987,"DOWN"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","Xenobiotic Metabolism",200,139,0.695,TRUE,139,"UP",0.300291418905347,0.508567283530613,0.00213026524062052,1.02670460344555,1.13450219269776,0.274947009189761,0.490976802124573,"UP"
"FAMILY_1","GSE336490","HIEC6","PRIMARY","PFOA_vs_Vehicle","PFOA_CONTEXT_RESPONSE","Fatty Acid Metabolism",158,126,0.79746835443038,TRUE,126,"UP",0.731380270659946,0.850442175185983,-0.000149441455615379,-0.0543711862701677,-0.0710822447610258,0.944301048407373,0.972736505689691,"DOWN"
