family_id,dataset,context,role,contrast,contrast_type,pathway,set_size,overlap_genes,coverage_fraction,eligible,camera_n_genes,camera_direction,camera_p_value,camera_fdr,score_effect,score_standardized_effect,score_t,score_p_value,score_fdr,score_direction,strong,weak,evidence_direction,evidence_class
FAMILY_1,GSE336490,HaCaT,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Apoptosis,161,143,0.888198757763975,True,143.0,UP,0.286183907386585,0.366902445367416,0.0043471029456658,2.7371740135347,2.84867137422441,0.0158658336499487,0.0255900542741108,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HaCaT,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Notch Signaling,32,29,0.90625,True,29.0,DOWN,0.894300165800554,0.912551189592403,-0.0044367767425298,-2.01319400253232,-2.48819864085148,0.0301744192712055,0.0431063132445792,DOWN,False,True,DOWN,WEAK
FAMILY_1,GSE336490,HaCaT,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Adipogenesis,200,174,0.87,True,174.0,UP,0.301174214653067,0.376467768316333,0.0022727359643529,1.4139414724704,1.48223096591103,0.16641094354076,0.202940175049707,UP,False,False,,NO_EVIDENCE
FAMILY_1,GSE336490,HaCaT,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Estrogen Response Early,200,168,0.84,True,168.0,UP,0.0451855503087402,0.0836769450161856,0.0039090073030352,2.12018863375739,2.40205130575073,0.0351503866386412,0.0488199814425572,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HaCaT,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Estrogen Response Late,200,155,0.775,True,155.0,UP,0.110786419707204,0.162921205451771,0.0032137867147456,2.41868335805463,2.24300974984699,0.0465060259649494,0.0628459810337154,UP,False,True,UP,WEAK
FAMILY_1,GSE336490,HaCaT,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Androgen Response,100,91,0.91,True,91.0,UP,0.253609613653151,0.34271569412588,9.99543844535378e-05,0.0409236919678602,0.0528011611621772,0.95883909559812,0.95883909559812,UP,False,False,,NO_EVIDENCE
FAMILY_1,GSE336490,HaCaT,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Myogenesis,200,117,0.585,True,117.0,UP,0.0755465031696451,0.125910838616075,0.0015959513935798,0.306135282167696,0.458752398114829,0.656208126630571,0.69809375173465,UP,False,False,,NO_EVIDENCE
FAMILY_1,GSE336490,HaCaT,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Protein Secretion,96,94,0.979166666666667,True,94.0,DOWN,0.0001290045300127,0.0004961712692798,-0.0117615058427931,-2.89510859124234,-4.23890233132764,0.0016030221329997,0.002968559505555,DOWN,True,False,DOWN,STRONG
FAMILY_1,GSE336490,HaCaT,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Interferon Alpha Response,97,93,0.958762886597938,True,93.0,DOWN,3.81090575566817e-08,4.76363219458521e-07,-0.0211727927846898,-5.82918374486588,-8.49123874088722,3.74558709531148e-06,4.14460250910437e-05,DOWN,True,False,DOWN,STRONG
FAMILY_1,GSE336490,HaCaT,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Interferon Gamma Response,200,166,0.83,True,166.0,DOWN,2.56558797235525e-05,0.0001282793986177,-0.0116295308067098,-5.72305823483576,-6.8122817590735,2.93823478814145e-05,0.0001836396742588,DOWN,True,False,DOWN,STRONG
FAMILY_1,GSE336490,HaCaT,PRIMARY,PFTeDA_vs_Vehicle,PFTeDA_CONTEXT_SUMMARY,Apical Junction,200,147,0.735,True,147.0,UP,0.229648223671475,0.318955866210382,0.0017195995787247,0.476469758260454,0.693051745884107,0.502678563932825,0.546389743405244,UP,False,False,,NO_EVIDENCE
